Year,Temporary visa holders (000),Australian Citizen (000),Permanent visa holders (000),NZ Citizen (subclass 444) (000),Unknown Visa (000)
2012-13,119.03,85.69,18.67,20.06,8.31
2013-14,127.76,92.18,19.69,25.3,11.97
2014-15,128.06,97.57,21.28,27.08,7.23
2015-16,129.28,97.29,20.98,27.64,7.86
2016-17,131.22,92.56,20.49,25.6,6.94
2017-18,143.55,89.77,20.59,22.91,12.48
2018-19,168.53,85.89,21.54,22.41,10.7
2019-20,196.83,60.39,24.41,20.85,11.69
2020-21,146.53,44.01,17.93,19.05,3.41
2021-22,99.45,77.67,23.65,15.23,7.14
2022-23,76.38,94.44,22.1,17.11,9.04
