Visa groupings,2018-19,2021-22,2022-23
Permanent visas,,,
Family,24.3,25.9,21.1
Skilled (permanent),38.2,28.1,35.0
Special eligibility & humanitarian,15.3,7.8,12.7
Other (permanent),7.5,9.3,10.8
Total permanent visas,85.4,71.1,79.7
Temporary visas,,,
Student - vocational education and training,22.6,21.5,36.6
Student - higher education,111.3,98.4,183.1
Student - other,30.4,21.5,62.9
Skilled (temporary),32.6,24.4,48.7
Working holiday,49.1,20.5,69.6
Visitors,91.2,47.4,105.8
Other (temporary),13.4,32.5,46.9
Total temporary visas,350.7,266.2,553.5
New Zealand citizens (subclass 444),30.5,24.1,41.3
Australian citizens (no visa required),78.9,62.5,59.4
Total,550.4,426.7,737.2
